		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
14/08/19	12:00 a	25.7	25.7	25.6	97	25.2	0.4	ESE	0.13	0.9	ESE	25.7	29.2	29.2	28.6	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.1	66	20.2	28.7	11.93	1.1464	0.00	116	1	100.0	5
14/08/19	12:05 a	25.6	25.7	25.6	97	25.1	0.4	ESE	0.13	0.9	ESE	25.6	29.1	29.1	28.5	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.2	66	20.3	28.8	11.93	1.1461	0.00	116	1	100.0	5
14/08/19	12:10 a	25.6	25.6	25.5	97	25.0	0.4	ESE	0.13	0.9	ESE	25.6	28.9	28.9	28.3	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.1	67	20.5	28.8	12.13	1.1461	0.00	117	1	100.0	5
14/08/19	12:15 a	25.5	25.6	25.4	97	25.0	0.4	E	0.13	0.9	ESE	25.5	28.8	28.8	28.2	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.2	67	20.5	28.9	12.13	1.1458	0.00	117	1	100.0	5
14/08/19	12:20 a	25.4	25.5	25.4	97	24.9	0.4	E	0.13	0.9	E	25.4	28.7	28.7	28.1	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.2	67	20.5	28.9	12.13	1.1459	0.00	117	1	100.0	5
14/08/19	12:25 a	25.4	25.4	25.4	97	24.9	0.4	E	0.13	1.3	E	25.4	28.7	28.7	28.1	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.2	67	20.5	28.9	12.13	1.1457	0.00	115	1	100.0	5
14/08/19	12:30 a	25.4	25.5	25.4	97	24.9	0.0	E	0.00	0.4	E	25.4	28.7	28.7	28.1	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.1	67	20.5	28.8	12.13	1.1460	0.00	114	1	100.0	5
14/08/19	12:35 a	25.4	25.4	25.4	97	24.9	0.4	E	0.13	0.9	E	25.4	28.7	28.7	28.1	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.1	68	20.7	28.9	12.33	1.1457	0.00	115	1	100.0	5
14/08/19	12:40 a	25.4	25.5	25.4	97	24.9	0.4	E	0.13	1.3	E	25.4	28.7	28.7	28.1	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.2	68	20.7	29.1	12.33	1.1454	0.00	117	1	100.0	5
14/08/19	12:45 a	25.4	25.4	25.4	97	24.9	0.0	E	0.00	0.9	E	25.4	28.7	28.7	28.1	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.2	68	20.7	29.1	12.33	1.1452	0.00	117	1	100.0	5
14/08/19	12:50 a	25.4	25.4	25.4	97	24.9	0.4	E	0.13	0.9	E	25.4	28.7	28.7	28.1	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.2	68	20.7	29.1	12.33	1.1451	0.00	117	1	100.0	5
14/08/19	12:55 a	25.4	25.4	25.4	97	24.9	0.0	E	0.00	0.4	E	25.4	28.6	28.6	28.0	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.2	69	21.0	29.2	12.51	1.1446	0.00	116	1	100.0	5
14/08/19	1:00 a	25.3	25.4	25.3	97	24.8	0.4	E	0.13	0.9	E	25.3	28.4	28.4	27.9	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.1	69	20.9	29.1	12.52	1.1448	0.00	115	1	100.0	5
14/08/19	1:05 a	25.3	25.3	25.3	97	24.8	0.0	E	0.00	0.4	E	25.3	28.3	28.3	27.7	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.2	69	21.0	29.2	12.51	1.1444	0.00	113	1	99.1	5
14/08/19	1:10 a	25.3	25.3	25.3	97	24.8	0.0	E	0.00	0.4	E	25.3	28.4	28.4	27.9	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.1	69	20.9	29.1	12.52	1.1445	0.00	116	1	100.0	5
14/08/19	1:15 a	25.3	25.3	25.3	97	24.8	0.0	E	0.00	0.4	E	25.3	28.3	28.3	27.7	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.1	69	20.9	29.1	12.52	1.1443	0.00	116	1	100.0	5
14/08/19	1:20 a	25.3	25.3	25.3	97	24.8	0.0	E	0.00	0.4	E	25.3	28.4	28.4	27.9	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.2	69	21.0	29.2	12.51	1.1440	0.00	117	1	100.0	5
14/08/19	1:25 a	25.3	25.3	25.3	97	24.8	0.4	E	0.13	0.9	E	25.3	28.3	28.3	27.7	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.2	69	21.0	29.2	12.51	1.1439	0.00	117	1	100.0	5
14/08/19	1:30 a	25.3	25.4	25.3	97	24.8	0.9	E	0.27	1.3	E	25.3	28.4	28.4	27.9	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.1	69	20.9	29.1	12.52	1.1442	0.00	116	1	100.0	5
14/08/19	1:35 a	25.3	25.3	25.3	97	24.8	0.0	E	0.00	0.9	E	25.3	28.3	28.3	27.7	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.1	70	21.2	29.2	12.80	1.1435	0.00	117	1	100.0	5
14/08/19	1:40 a	25.2	25.3	25.2	97	24.7	0.0	E	0.00	0.4	E	25.2	28.2	28.2	27.6	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.1	70	21.2	29.2	12.80	1.1433	0.00	114	1	100.0	5
14/08/19	1:45 a	25.2	25.3	25.2	97	24.7	0.0	---	0.00	0.0	---	25.2	28.2	28.2	27.6	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.2	70	21.2	29.3	12.80	1.1428	0.00	115	1	100.0	5
