		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
03/08/19	8:41 p	26.8	26.8	26.8	92	25.4	1.3	NNE	0.08	1.8	N	26.8	31.2	31.2	30.4	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	32.1	13.25	1.1374	0.00	22	1	95.7	1
03/08/19	8:42 p	26.8	26.8	26.8	93	25.6	1.3	NE	0.08	1.8	NNE	26.8	31.5	31.5	30.7	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	32.1	13.25	1.1374	0.00	24	1	100.0	1
03/08/19	8:43 p	26.8	26.8	26.8	93	25.6	0.9	NE	0.05	1.3	NE	26.8	31.3	31.3	30.6	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	32.1	13.25	1.1375	0.00	23	1	100.0	1
03/08/19	8:44 p	26.8	26.8	26.8	93	25.6	0.9	NE	0.05	1.3	NE	26.8	31.3	31.3	30.6	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	32.1	13.25	1.1375	0.00	23	1	100.0	1
03/08/19	8:45 p	26.8	26.8	26.8	93	25.6	0.9	ENE	0.05	1.8	NE	26.8	31.3	31.3	30.6	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	32.1	13.25	1.1374	0.00	24	1	100.0	1
03/08/19	8:46 p	26.8	26.8	26.7	93	25.6	1.3	NE	0.08	1.3	NE	26.8	31.3	31.3	30.6	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	31.9	13.25	1.1378	0.00	23	1	100.0	1
03/08/19	8:47 p	26.7	26.8	26.7	93	25.5	1.3	NNE	0.08	1.3	N	26.7	31.2	31.2	30.4	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	32.1	13.25	1.1375	0.00	24	1	100.0	1
03/08/19	8:48 p	26.7	26.8	26.7	93	25.5	0.9	NE	0.05	1.3	NE	26.7	31.2	31.2	30.4	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	31.9	13.25	1.1378	0.00	22	1	95.7	1
03/08/19	8:49 p	26.7	26.7	26.7	93	25.5	0.9	NE	0.05	1.8	NNE	26.7	31.2	31.2	30.4	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.4	72	22.9	31.9	13.25	1.1378	0.00	23	1	100.0	1
