		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
14/12/19	12:00 a	23.8	24.2	23.8	97	23.3	1.8	WNW	0.54	3.6	NW	23.8	25.7	25.7	25.1	1011.1	4.06	68.3	0	0.00	0	0.0	0.00	0.0	0.000	0.019	27.1	72	21.6	29.3	13.25	1.1441	0.00	114	1	100.0	5
14/12/19	12:05 a	23.8	23.8	23.8	97	23.3	2.7	WNW	0.80	4.9	WNW	23.8	25.7	25.7	25.1	1011.0	4.06	74.7	0	0.00	0	0.0	0.00	0.0	0.000	0.019	27.1	72	21.6	29.3	13.25	1.1440	0.00	114	1	100.0	5
14/12/19	12:10 a	23.9	24.0	23.8	97	23.4	1.8	WNW	0.54	4.5	WNW	23.9	25.8	25.8	25.2	1011.0	3.30	55.6	0	0.00	0	0.0	0.00	0.0	0.000	0.019	27.1	72	21.6	29.3	13.25	1.1439	0.00	117	1	100.0	5
14/12/19	12:15 a	23.7	23.9	23.6	98	23.3	1.3	WNW	0.40	4.5	NW	23.7	25.5	25.5	24.8	1010.8	3.56	60.2	0	0.00	0	0.0	0.00	0.0	0.000	0.019	27.1	72	21.6	29.3	13.25	1.1438	0.00	116	1	100.0	5
14/12/19	12:20 a	23.7	23.7	23.6	98	23.3	0.4	NW	0.13	1.8	NNE	23.7	25.5	25.5	24.8	1010.7	2.03	43.9	0	0.00	0	0.0	0.00	0.0	0.000	0.019	27.0	72	21.5	29.2	13.25	1.1440	0.00	117	1	100.0	5
14/12/19	12:25 a	23.8	23.8	23.6	99	23.7	0.9	NW	0.27	2.7	W	23.8	25.8	25.8	25.2	1010.7	2.54	53.1	0	0.00	0	0.0	0.00	0.0	0.000	0.019	27.0	72	21.5	29.2	13.25	1.1439	0.00	117	1	100.0	5
14/12/19	12:30 a	24.1	24.1	23.8	98	23.8	0.9	SSW	0.27	2.2	WNW	24.1	26.2	26.2	25.6	1010.8	1.27	43.9	0	0.00	0	0.0	0.00	0.0	0.000	0.020	27.0	72	21.5	29.2	13.25	1.1441	0.00	116	1	100.0	5
14/12/19	12:35 a	24.1	24.1	24.1	98	23.7	0.4	NW	0.13	2.7	W	24.1	26.1	26.1	25.5	1010.7	0.76	10.2	0	0.00	0	0.0	0.00	0.0	0.000	0.020	26.9	72	21.5	29.1	13.25	1.1442	0.00	114	1	100.0	5
14/12/19	12:40 a	24.1	24.1	24.0	98	23.7	0.9	NNW	0.27	1.8	NNE	24.1	26.1	26.1	25.5	1010.8	0.76	14.0	0	0.00	0	0.0	0.00	0.0	0.000	0.020	26.9	72	21.5	29.1	13.25	1.1443	0.00	117	1	100.0	5
14/12/19	12:45 a	24.1	24.1	24.1	98	23.8	0.9	NNW	0.27	1.3	NNW	24.1	26.2	26.2	25.6	1010.8	0.25	4.8	0	0.00	0	0.0	0.00	0.0	0.000	0.020	26.9	72	21.5	29.1	13.25	1.1443	0.00	116	1	100.0	5
14/12/19	12:50 a	24.2	24.2	24.1	98	23.8	0.9	NNW	0.27	1.8	N	24.2	26.3	26.3	25.7	1010.7	0.00	2.3	0	0.00	0	0.0	0.00	0.0	0.000	0.020	26.9	72	21.4	29.0	13.25	1.1446	0.00	117	1	100.0	5
14/12/19	12:55 a	24.1	24.2	24.1	98	23.8	0.9	NNW	0.27	1.8	N	24.1	26.2	26.2	25.6	1010.8	0.25	2.3	0	0.00	0	0.0	0.00	0.0	0.000	0.020	26.9	72	21.5	29.1	13.25	1.1443	0.00	115	1	100.0	5
