		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/12/19	12:05 a	25.5	25.5	25.4	96	24.8	0.4	ENE	0.13	1.3	ENE	25.5	28.7	28.7	28.1	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.6	72	22.1	30.4	13.25	1.1395	0.00	115	1	100.0	5
01/12/19	12:10 a	25.5	25.5	25.4	95	24.6	0.4	ENE	0.13	0.9	ENE	25.5	28.6	28.6	28.0	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.6	72	22.1	30.4	13.25	1.1395	0.00	116	1	100.0	5
01/12/19	12:15 a	25.4	25.5	25.4	95	24.6	0.4	ENE	0.13	0.9	ENE	25.4	28.4	28.4	27.9	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.6	72	22.1	30.4	13.25	1.1395	0.00	115	1	100.0	5
01/12/19	12:20 a	25.4	25.5	25.4	96	24.8	0.4	ENE	0.13	0.9	ENE	25.4	28.6	28.6	28.0	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.7	72	22.2	30.4	13.25	1.1391	0.00	113	1	99.1	5
01/12/19	12:25 a	25.4	25.4	25.4	96	24.7	0.9	ENE	0.27	1.8	ENE	25.4	28.4	28.4	27.9	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.6	72	22.1	30.4	13.25	1.1393	0.00	113	1	99.1	5
01/12/19	12:30 a	25.4	25.4	25.3	96	24.7	0.9	ENE	0.27	1.3	ENE	25.4	28.4	28.4	27.9	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.6	72	22.1	30.4	13.25	1.1393	0.00	117	1	100.0	5
01/12/19	12:35 a	25.3	25.4	25.3	96	24.6	0.9	ENE	0.27	1.8	ENE	25.3	28.3	28.3	27.8	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.6	72	22.1	30.3	13.25	1.1396	0.00	114	1	100.0	5
01/12/19	12:40 a	25.3	25.4	25.3	96	24.6	0.9	ENE	0.27	1.3	ENE	25.3	28.3	28.3	27.8	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.6	72	22.1	30.4	13.25	1.1392	0.00	115	1	100.0	5
01/12/19	12:45 a	25.2	25.3	25.2	96	24.5	0.9	E	0.27	1.3	ENE	25.2	28.1	28.1	27.5	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.6	72	22.1	30.3	13.25	1.1397	0.00	115	1	100.0	5
01/12/19	12:50 a	25.2	25.3	25.2	96	24.5	0.9	E	0.27	1.8	E	25.2	28.1	28.1	27.5	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.6	72	22.1	30.3	13.25	1.1396	0.00	115	1	100.0	5
