		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
02/12/19	12:00 a	26.9	26.9	26.9	92	25.5	0.4	NE	0.13	0.9	NE	26.9	31.4	31.4	30.9	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.0	66	20.1	28.5	11.94	1.1464	0.00	111	1	97.4	5
02/12/19	12:05 a	26.9	26.9	26.9	92	25.5	0.9	NE	0.27	2.2	NE	26.9	31.6	31.6	31.1	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.0	67	20.3	28.6	12.14	1.1460	0.00	113	1	99.1	5
02/12/19	12:10 a	26.9	27.0	26.9	92	25.5	0.4	NE	0.13	1.3	NE	26.9	31.6	31.6	31.1	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.0	67	20.3	28.6	12.14	1.1459	0.00	113	1	99.1	5
02/12/19	12:15 a	26.9	27.0	26.9	92	25.5	0.4	NE	0.13	1.8	E	26.9	31.6	31.6	31.1	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	67	20.4	28.7	12.14	1.1455	0.00	115	1	100.0	5
02/12/19	12:20 a	26.9	26.9	26.9	92	25.5	0.9	E	0.27	1.8	ENE	26.9	31.6	31.6	31.1	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	68	20.7	28.9	12.33	1.1448	0.00	112	1	98.2	5
02/12/19	12:25 a	26.9	26.9	26.9	92	25.5	0.9	ENE	0.27	1.3	NE	26.9	31.4	31.4	30.9	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	68	20.7	28.9	12.33	1.1447	0.00	112	1	98.2	5
02/12/19	12:30 a	26.8	26.9	26.8	92	25.4	0.9	NE	0.27	1.8	NE	26.8	31.2	31.2	30.6	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.1	69	20.9	29.1	12.52	1.1442	0.00	113	1	99.1	5
02/12/19	12:35 a	26.7	26.8	26.7	93	25.4	1.3	NE	0.40	1.8	NE	26.7	31.1	31.1	30.5	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.1	69	20.9	29.1	12.52	1.1440	0.00	117	1	100.0	5
02/12/19	12:40 a	26.6	26.7	26.6	93	25.4	0.9	NE	0.27	2.2	NE	26.6	30.9	30.9	30.4	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.1	69	20.9	29.1	12.52	1.1440	0.00	115	1	100.0	5
02/12/19	12:45 a	26.7	26.7	26.6	93	25.4	1.8	NE	0.54	4.0	NE	26.7	31.1	31.1	30.5	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.1	69	20.9	29.1	12.52	1.1440	0.00	114	1	100.0	5
02/12/19	12:50 a	26.7	26.7	26.7	92	25.3	1.3	NE	0.40	3.6	NNE	26.7	31.1	31.1	30.5	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.1	69	20.9	29.1	12.52	1.1439	0.00	113	1	99.1	5
02/12/19	12:55 a	26.9	26.9	26.7	92	25.5	1.8	NE	0.54	4.0	NE	26.9	31.4	31.4	30.9	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	69	20.9	29.1	12.52	1.1440	0.00	110	1	96.5	5
02/12/19	1:00 a	27.1	27.1	26.9	91	25.5	1.8	NE	0.54	3.6	ENE	27.1	31.7	31.7	31.2	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	69	20.9	29.1	12.52	1.1438	0.00	110	1	96.5	5
02/12/19	1:05 a	27.1	27.1	27.1	91	25.5	1.8	NE	0.54	3.1	NNE	27.1	31.8	31.8	31.3	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	69	20.9	29.1	12.52	1.1439	0.00	113	1	99.1	5
02/12/19	1:10 a	27.2	27.2	27.1	91	25.6	1.3	NE	0.40	4.0	ENE	27.2	32.0	32.0	31.5	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	27.1	70	21.2	29.2	12.80	1.1436	0.00	113	1	99.1	5
02/12/19	1:15 a	27.2	27.2	27.1	91	25.6	0.9	ENE	0.27	2.2	NNE	27.2	32.0	32.0	31.5	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	27.2	70	21.2	29.3	12.80	1.1432	0.00	112	1	98.2	5
02/12/19	1:20 a	27.0	27.2	27.0	91	25.4	0.9	ENE	0.27	1.8	NE	27.0	31.6	31.6	31.0	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.2	70	21.2	29.3	12.80	1.1431	0.00	115	1	100.0	5
02/12/19	1:25 a	26.8	27.0	26.8	92	25.4	0.9	E	0.27	1.8	ESE	26.8	31.3	31.3	30.8	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.2	70	21.2	29.3	12.80	1.1431	0.00	114	1	100.0	5
02/12/19	1:30 a	26.7	26.8	26.7	92	25.3	0.9	E	0.27	1.8	E	26.7	31.1	31.1	30.5	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	69	21.0	29.2	12.51	1.1434	0.00	112	1	98.2	5
02/12/19	1:35 a	26.6	26.7	26.6	93	25.4	0.9	E	0.27	1.8	E	26.6	30.9	30.9	30.4	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	70	21.3	29.4	12.79	1.1427	0.00	113	1	99.1	5
02/12/19	1:40 a	26.6	26.7	26.6	93	25.4	0.9	E	0.27	1.3	E	26.6	30.9	30.9	30.4	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	70	21.2	29.3	12.80	1.1430	0.00	114	1	100.0	5
02/12/19	1:45 a	26.6	26.6	26.6	93	25.4	0.9	ESE	0.27	1.8	SE	26.6	30.9	30.9	30.4	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	70	21.3	29.4	12.79	1.1425	0.00	113	1	99.1	5
02/12/19	1:50 a	26.6	26.7	26.6	93	25.4	0.9	E	0.27	1.3	E	26.6	30.9	30.9	30.4	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	70	21.3	29.4	12.79	1.1426	0.00	114	1	100.0	5
02/12/19	1:55 a	26.6	26.7	26.6	93	25.4	0.4	E	0.13	0.9	E	26.6	30.9	30.9	30.4	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	70	21.3	29.4	12.79	1.1425	0.00	112	1	98.2	5
02/12/19	2:00 a	26.6	26.7	26.6	93	25.3	0.4	E	0.13	0.9	E	26.6	30.8	30.8	30.2	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	70	21.3	29.4	12.79	1.1425	0.00	113	1	99.1	5
02/12/19	2:05 a	26.5	26.6	26.5	93	25.3	0.9	E	0.27	1.3	E	26.5	30.7	30.7	30.1	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1423	0.00	112	1	98.2	5
02/12/19	2:10 a	26.4	26.5	26.4	93	25.2	0.4	E	0.13	1.3	E	26.4	30.5	30.5	29.9	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1423	0.00	111	1	97.4	5
02/12/19	2:15 a	26.4	26.5	26.4	93	25.2	0.4	E	0.13	1.3	E	26.4	30.4	30.4	29.8	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1422	0.00	114	1	100.0	5
02/12/19	2:20 a	26.4	26.4	26.4	93	25.2	0.9	E	0.27	1.8	E	26.4	30.5	30.5	29.9	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1422	0.00	114	1	100.0	5
02/12/19	2:25 a	26.4	26.4	26.4	94	25.4	0.9	E	0.27	1.8	E	26.4	30.7	30.7	30.1	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1421	0.00	114	1	100.0	5
02/12/19	2:30 a	26.3	26.4	26.3	94	25.3	0.0	ENE	0.00	0.9	ENE	26.3	30.4	30.4	29.8	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1421	0.00	114	1	100.0	5
02/12/19	2:35 a	26.4	26.4	26.3	94	25.3	0.0	ENE	0.00	0.4	ENE	26.4	30.5	30.5	29.9	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1419	0.00	113	1	99.1	5
02/12/19	2:40 a	26.3	26.4	26.3	94	25.3	0.0	ENE	0.00	0.9	ENE	26.3	30.4	30.4	29.8	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1420	0.00	111	1	97.4	5
02/12/19	2:45 a	26.3	26.3	26.3	94	25.3	0.0	ENE	0.00	0.4	ENE	26.3	30.4	30.4	29.8	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1420	0.00	114	1	100.0	5
02/12/19	2:50 a	26.3	26.3	26.3	94	25.3	0.0	ENE	0.00	0.4	ENE	26.3	30.4	30.4	29.8	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1420	0.00	113	1	99.1	5
02/12/19	2:55 a	26.4	26.4	26.3	94	25.3	0.4	ENE	0.13	0.9	ENE	26.4	30.5	30.5	29.9	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.3	70	21.3	29.5	12.78	1.1418	0.00	113	1	99.1	5
02/12/19	3:00 a	26.3	26.4	26.3	94	25.3	0.4	ENE	0.13	0.9	ENE	26.3	30.4	30.4	29.8	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.3	70	21.3	29.5	12.78	1.1417	0.00	113	1	99.1	5
02/12/19	3:05 a	26.2	26.3	26.2	94	25.2	0.4	ENE	0.13	0.9	ENE	26.2	30.1	30.1	29.6	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.3	29.5	12.78	1.1416	0.00	113	1	99.1	5
02/12/19	3:10 a	26.2	26.3	26.2	94	25.2	0.4	NNE	0.13	1.3	NNE	26.2	30.1	30.1	29.6	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.3	29.5	12.78	1.1417	0.00	110	1	96.5	5
02/12/19	3:15 a	26.2	26.2	26.2	94	25.2	0.0	NNE	0.00	0.9	NNE	26.2	30.1	30.1	29.6	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.2	70	21.3	29.4	12.79	1.1420	0.00	113	1	99.1	5
02/12/19	3:20 a	26.2	26.2	26.2	95	25.4	0.4	NNE	0.13	0.9	NNE	26.2	30.2	30.2	29.7	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.2	70	21.3	29.4	12.79	1.1423	0.00	113	1	99.1	5
02/12/19	3:25 a	26.2	26.3	26.2	95	25.4	0.4	NNE	0.13	0.9	NNE	26.2	30.2	30.2	29.7	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.3	29.5	12.78	1.1422	0.00	114	1	100.0	5
02/12/19	3:30 a	26.2	26.2	26.2	94	25.2	0.4	ESE	0.13	1.3	ESE	26.2	30.1	30.1	29.6	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.2	70	21.3	29.4	12.79	1.1426	0.00	112	1	98.2	5
02/12/19	3:35 a	26.1	26.2	26.1	95	25.2	0.4	ESE	0.13	0.9	ESE	26.1	29.9	29.9	29.4	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.2	70	21.3	29.4	12.79	1.1426	0.00	116	1	100.0	5
02/12/19	3:40 a	26.1	26.1	26.1	95	25.2	0.4	ESE	0.13	0.9	ESE	26.1	29.8	29.8	29.3	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.3	29.5	12.78	1.1422	0.00	114	1	100.0	5
02/12/19	3:45 a	26.1	26.1	26.1	95	25.2	0.4	ESE	0.13	0.9	ESE	26.1	29.8	29.8	29.3	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.2	70	21.3	29.4	12.79	1.1425	0.00	113	1	99.1	5
02/12/19	3:50 a	26.1	26.1	26.1	95	25.2	0.4	ESE	0.13	1.3	ESE	26.1	29.9	29.9	29.4	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.3	29.5	12.78	1.1422	0.00	114	1	100.0	5
02/12/19	3:55 a	26.2	26.2	26.1	95	25.3	0.4	ESE	0.13	1.3	ESE	26.2	30.1	30.1	29.6	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.2	70	21.3	29.4	12.79	1.1427	0.00	115	1	100.0	5
02/12/19	4:00 a	26.3	26.3	26.2	95	25.4	0.9	ESE	0.27	1.3	ESE	26.3	30.4	30.4	29.8	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.3	70	21.3	29.5	12.78	1.1425	0.00	115	1	100.0	5
02/12/19	4:05 a	26.4	26.4	26.3	94	25.4	1.3	ESE	0.40	2.7	E	26.4	30.7	30.7	30.1	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.2	70	21.3	29.4	12.79	1.1429	0.00	114	1	100.0	5
02/12/19	4:10 a	26.4	26.4	26.4	94	25.4	1.3	E	0.40	1.8	ENE	26.4	30.7	30.7	30.1	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.3	70	21.3	29.5	12.78	1.1426	0.00	116	1	100.0	5
02/12/19	4:15 a	26.5	26.5	26.4	94	25.5	0.9	E	0.27	1.8	E	26.5	30.8	30.8	30.2	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.3	70	21.3	29.5	12.78	1.1427	0.00	114	1	100.0	5
02/12/19	4:20 a	26.5	26.5	26.5	94	25.5	0.9	E	0.27	1.8	E	26.5	30.8	30.8	30.2	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	27.3	70	21.3	29.5	12.78	1.1427	0.00	110	1	96.5	5
02/12/19	4:25 a	26.6	26.6	26.5	94	25.5	1.3	ESE	0.40	1.8	ESE	26.6	30.9	30.9	30.4	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	27.2	71	21.5	29.5	13.01	1.1426	0.00	112	1	98.2	5
