		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
18/07/19	12:01 a	27.2	27.3	27.2	91	25.6	0.9	SSE	0.05	0.9	SSE	27.2	32.2	32.2	31.7	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1428	0.00	22	1	95.7	1
18/07/19	12:02 a	27.2	27.2	27.2	91	25.6	0.4	ESE	0.03	0.4	ESE	27.2	32.2	32.2	31.7	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1429	0.00	24	1	100.0	1
18/07/19	12:03 a	27.2	27.2	27.2	91	25.6	0.4	ESE	0.03	0.9	ESE	27.2	32.2	32.2	31.7	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1429	0.00	23	1	100.0	1
18/07/19	12:04 a	27.2	27.2	27.2	91	25.6	0.4	ESE	0.03	0.9	ESE	27.2	32.2	32.2	31.7	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1429	0.00	24	1	100.0	1
18/07/19	12:05 a	27.2	27.2	27.2	91	25.6	0.9	SE	0.05	1.3	SSE	27.2	32.0	32.0	31.5	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1430	0.00	23	1	100.0	1
18/07/19	12:06 a	27.2	27.2	27.2	91	25.6	0.9	SE	0.05	1.3	SE	27.2	32.0	32.0	31.5	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1430	0.00	23	1	100.0	1
18/07/19	12:07 a	27.1	27.2	27.1	91	25.5	1.3	SE	0.08	1.8	SE	27.1	31.8	31.8	31.3	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1430	0.00	24	1	100.0	1
18/07/19	12:08 a	27.1	27.1	27.1	91	25.5	1.3	SE	0.08	2.7	ESE	27.1	31.8	31.8	31.3	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	70	21.7	30.2	12.74	1.1426	0.00	23	1	100.0	1
18/07/19	12:09 a	27.1	27.1	27.1	91	25.5	0.9	SE	0.05	1.3	SE	27.1	31.8	31.8	31.3	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.7	69	21.5	30.1	12.48	1.1430	0.00	24	1	100.0	1
