	Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
03/07/19	3:43 p	30.2	30.2	30.2	80	26.4	3.1	N	0.19	5.4	N	30.2	38.4	38.4	43.2	1007.4	0.00	0.0	405	0.58	413	3.1	0.02	3.1	0.000	0.008	29.2	66	22.2	32.6	11.86	1.1305	0.00	24	1	100.0	1
03/07/19	3:44 p	30.3	30.3	30.2	80	26.4	2.7	N	0.16	4.5	NNW	30.3	38.6	38.6	43.4	1007.4	0.00	0.0	396	0.57	396	3.1	0.02	3.1	0.000	0.008	29.2	66	22.2	32.6	11.86	1.1305	0.00	23	1	100.0	1
03/07/19	3:45 p	30.3	30.3	30.3	79	26.3	3.1	N	0.19	6.3	NNW	30.3	38.4	38.4	42.8	1007.4	0.00	0.0	357	0.51	357	2.9	0.02	2.9	0.000	0.008	29.2	66	22.2	32.6	11.86	1.1305	0.00	24	1	100.0	1
03/07/19	3:46 p	30.3	30.3	30.3	79	26.3	3.6	NNW	0.21	4.9	NNW	30.3	38.4	38.4	42.6	1007.5	0.00	0.0	353	0.51	353	2.9	0.02	2.9	0.000	0.008	29.2	66	22.2	32.6	11.86	1.1305	0.00	22	1	95.7	1
03/07/19	3:47 p	30.4	30.4	30.3	79	26.3	3.1	N	0.19	5.4	NNW	30.4	38.6	38.6	43.2	1007.4	0.00	0.0	376	0.54	376	2.9	0.02	2.9	0.000	0.008	29.3	66	22.3	32.7	11.86	1.1302	0.00	22	1	95.7	1
03/07/19	3:48 p	30.4	30.4	30.3	78	26.1	3.1	NNW	0.19	4.5	N	30.4	38.3	38.3	42.9	1007.4	0.00	0.0	376	0.54	376	2.8	0.02	2.8	0.000	0.008	29.2	66	22.2	32.6	11.86	1.1305	0.00	23	1	100.0	1
03/07/19	3:49 p	30.4	30.4	30.4	78	26.1	3.6	N	0.21	7.2	NNE	30.3	38.3	38.3	42.4	1007.4	0.00	0.0	352	0.50	355	2.8	0.02	2.8	0.000	0.008	29.2	66	22.2	32.6	11.86	1.1305	0.00	22	1	95.7	1
03/07/19	3:50 p	30.4	30.4	30.3	78	26.1	3.1	NNW	0.19	6.3	NNW	30.4	38.3	38.3	42.8	1007.4	0.00	0.0	362	0.52	362	2.8	0.02	2.8	0.000	0.008	29.2	66	22.2	32.6	11.86	1.1305	0.00	24	1	100.0	1
03/07/19	3:51 p	30.4	30.4	30.4	78	26.1	3.6	N	0.21	5.8	NNE	30.3	38.3	38.3	42.6	1007.5	0.00	0.0	366	0.52	366	2.8	0.02	2.8	0.000	0.008	29.3	66	22.3	32.7	11.86	1.1303	0.00	21	1	91.3	1
