	Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
05/07/19	12:00 a	27.8	27.9	27.8	90	26.0	0.9	ENE	0.05	1.8	ENE	27.8	33.7	33.7	33.2	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	28.0	69	21.8	30.7	12.45	1.1392	0.03	21	1	91.3	1
05/07/19	12:01 a	27.8	27.8	27.8	91	26.2	1.3	NNE	0.08	1.8	NNE	27.8	33.9	33.9	33.4	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	28.0	69	21.8	30.7	12.45	1.1392	0.00	20	1	87.0	1
05/07/19	12:02 a	27.8	27.8	27.8	91	26.2	1.3	NNE	0.08	1.8	NNE	27.8	33.7	33.7	33.2	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	28.0	69	21.8	30.7	12.45	1.1391	0.00	23	1	100.0	1
05/07/19	12:03 a	27.7	27.8	27.7	91	26.1	1.3	NNE	0.08	2.2	NNE	27.7	33.6	33.6	33.1	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	28.0	69	21.8	30.7	12.45	1.1391	0.00	22	1	95.7	1
05/07/19	12:04 a	27.7	27.8	27.7	91	26.1	1.3	NNE	0.08	2.2	NNE	27.7	33.6	33.6	33.1	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	28.0	69	21.8	30.7	12.45	1.1391	0.00	22	1	95.7	1
05/07/19	12:05 a	27.7	27.7	27.7	91	26.1	1.3	N	0.08	1.8	NNE	27.7	33.6	33.6	33.1	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	28.0	69	21.8	30.7	12.45	1.1392	0.00	23	1	100.0	1
05/07/19	12:06 a	27.7	27.7	27.7	91	26.1	1.8	NNE	0.11	2.2	NNE	27.7	33.4	33.4	32.9	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.0	69	21.8	30.7	12.45	1.1391	0.00	21	1	91.3	1
05/07/19	12:07 a	27.7	27.7	27.7	91	26.1	1.8	NNE	0.11	2.7	ESE	27.7	33.4	33.4	32.9	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.0	69	21.8	30.7	12.45	1.1391	0.00	23	1	100.0	1
05/07/19	12:08 a	27.7	27.7	27.7	91	26.1	1.8	NW	0.11	2.7	N	27.7	33.4	33.4	32.9	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	28.0	69	21.8	30.7	12.45	1.1391	0.00	22	1	95.7	1
