		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
18/06/19	12:00 a	28.6	28.6	28.5	92	27.1	0.9	NNE	0.27	1.8	N	28.6	36.3	36.3	35.9	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.7	81	27.0	40.2	16.06	1.1184	0.03	115	1	100.0	5
18/06/19	12:05 a	28.5	28.6	28.5	92	27.1	0.9	NNE	0.27	3.1	NNE	28.5	36.2	36.2	35.7	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.7	81	27.0	40.2	16.06	1.1183	0.00	115	1	100.0	5
18/06/19	12:10 a	28.5	28.5	28.4	92	27.1	0.9	NNE	0.27	1.8	NNE	28.5	36.2	36.2	35.7	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.7	81	27.0	40.2	16.06	1.1183	0.00	117	1	100.0	5
18/06/19	12:15 a	28.5	28.6	28.5	92	27.1	0.9	N	0.27	2.2	NE	28.5	36.2	36.2	35.7	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	81	27.0	39.9	16.07	1.1185	0.00	116	1	100.0	5
18/06/19	12:20 a	28.5	28.6	28.5	92	27.1	0.9	NNE	0.27	2.2	N	28.5	36.2	36.2	35.7	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.7	81	27.0	40.2	16.06	1.1181	0.00	117	1	100.0	5
18/06/19	12:25 a	28.4	28.5	28.4	92	27.0	0.9	NNE	0.27	1.8	NE	28.4	35.9	35.9	35.5	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	81	27.0	39.9	16.07	1.1184	0.00	117	1	100.0	5
18/06/19	12:30 a	28.5	28.5	28.4	92	27.1	0.9	NNE	0.27	2.2	NE	28.5	36.2	36.2	35.7	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	81	27.0	39.9	16.07	1.1183	0.00	114	1	100.0	5
18/06/19	12:35 a	28.4	28.5	28.4	92	27.0	1.3	N	0.40	2.7	NNE	28.4	35.9	35.9	35.5	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	81	27.0	39.9	16.07	1.1181	0.00	114	1	100.0	5
18/06/19	12:40 a	28.3	28.4	28.3	92	26.9	1.3	NNE	0.40	2.2	NE	28.3	35.6	35.6	35.2	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	81	27.0	39.9	16.07	1.1180	0.00	117	1	100.0	5
