		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
21/06/19	12:00 a	27.1	27.2	27.1	95	26.2	0.4	S	0.13	0.9	S	27.1	32.6	32.6	32.1	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.2	59	19.4	29.6	10.55	1.1439	0.00	115	1	100.0	5
21/06/19	12:05 a	27.1	27.1	27.1	95	26.2	0.4	S	0.13	1.3	SSE	27.1	32.5	32.5	32.0	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	59	19.5	29.7	10.55	1.1437	0.00	113	1	99.1	5
21/06/19	12:10 a	27.1	27.1	27.1	95	26.2	0.4	SSE	0.13	1.3	SSE	27.1	32.6	32.6	32.1	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	59	19.5	29.7	10.55	1.1437	0.00	114	1	100.0	5
21/06/19	12:15 a	27.1	27.1	27.1	95	26.2	0.0	S	0.00	0.9	S	27.1	32.6	32.6	32.1	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	59	19.6	29.8	10.55	1.1433	0.00	115	1	100.0	5
21/06/19	12:20 a	27.1	27.1	27.1	95	26.2	0.4	S	0.13	0.9	S	27.1	32.6	32.6	32.1	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	59	19.6	29.8	10.55	1.1433	0.00	115	1	100.0	5
21/06/19	12:25 a	27.1	27.1	27.1	95	26.2	0.4	SSE	0.13	1.3	SSE	27.1	32.5	32.5	32.0	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	60	19.8	29.9	10.75	1.1429	0.00	113	1	99.1	5
21/06/19	12:30 a	27.1	27.1	27.1	95	26.2	0.0	SSE	0.00	0.9	SSE	27.1	32.5	32.5	32.0	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	60	19.8	29.9	10.75	1.1427	0.00	114	1	100.0	5
21/06/19	12:35 a	27.1	27.1	27.1	95	26.2	0.0	SSE	0.00	0.4	SSE	27.1	32.5	32.5	32.0	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	60	19.8	29.9	10.75	1.1428	0.00	117	1	100.0	5
21/06/19	12:40 a	27.1	27.1	27.1	95	26.2	0.4	SSE	0.13	0.9	SSE	27.1	32.5	32.5	32.0	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	60	19.8	29.9	10.75	1.1426	0.00	116	1	100.0	5
21/06/19	12:45 a	27.1	27.1	27.0	95	26.2	0.4	SSE	0.13	0.9	SSE	27.1	32.5	32.5	32.0	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	60	19.8	29.9	10.75	1.1425	0.00	117	1	100.0	5
21/06/19	12:50 a	27.1	27.1	27.0	95	26.2	0.4	SSE	0.13	0.9	SSE	27.1	32.5	32.5	32.0	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.4	61	20.1	30.2	10.95	1.1417	0.00	117	1	100.0	5
