		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
24/11/19	12:00 a	26.1	26.1	26.0	94	25.1	0.9	N	0.27	2.2	N	26.1	29.8	29.8	29.3	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	28.1	71	22.3	31.1	12.95	1.1395	0.00	113	1	99.1	5
24/11/19	12:05 a	26.1	26.1	26.1	94	25.0	1.3	N	0.40	3.6	N	26.1	29.7	29.7	29.1	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	28.1	71	22.4	31.2	12.95	1.1389	0.00	113	1	99.1	5
24/11/19	12:10 a	26.1	26.1	26.1	94	25.1	0.9	NE	0.27	1.8	NNE	26.1	29.8	29.8	29.3	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	28.1	71	22.3	31.1	12.95	1.1392	0.00	116	1	100.0	5
24/11/19	12:15 a	25.9	26.1	25.9	94	24.9	0.4	NNE	0.13	1.3	NNE	25.9	29.4	29.4	28.9	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.1	71	22.3	31.1	12.95	1.1391	0.00	117	1	100.0	5
24/11/19	12:20 a	25.9	26.0	25.9	94	24.8	0.9	NNE	0.27	2.2	N	25.9	29.3	29.3	28.7	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.1	71	22.3	31.1	12.95	1.1392	0.00	115	1	100.0	5
24/11/19	12:25 a	25.8	25.9	25.8	94	24.7	0.9	NNE	0.27	1.8	NNE	25.8	29.1	29.1	28.5	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.0	71	22.2	31.0	12.95	1.1393	0.00	116	1	100.0	5
24/11/19	12:30 a	25.7	25.8	25.7	93	24.5	1.3	NNE	0.40	3.1	NNE	25.7	28.8	28.8	28.2	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.1	71	22.3	31.1	12.95	1.1389	0.00	115	1	100.0	5
24/11/19	12:35 a	25.7	25.7	25.7	93	24.5	0.4	NE	0.13	1.3	NNE	25.7	28.8	28.8	28.2	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.0	71	22.2	31.0	12.95	1.1393	0.00	114	1	100.0	5
24/11/19	12:40 a	25.7	25.7	25.7	93	24.5	0.4	NE	0.13	0.9	NE	25.7	28.8	28.8	28.2	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.0	71	22.2	31.0	12.95	1.1393	0.00	116	1	100.0	5
24/11/19	12:45 a	25.8	25.8	25.7	93	24.6	0.4	NE	0.13	0.9	NE	25.8	29.1	29.1	28.5	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.0	71	22.2	31.0	12.95	1.1391	0.00	117	1	100.0	5
24/11/19	12:50 a	25.9	25.9	25.8	93	24.7	0.4	ENE	0.13	1.3	ENE	25.9	29.2	29.2	28.6	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.0	71	22.2	31.0	12.95	1.1391	0.00	117	1	100.0	5
24/11/19	12:55 a	25.9	25.9	25.8	94	24.8	0.0	ENE	0.00	0.9	ENE	25.9	29.3	29.3	28.7	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.0	71	22.2	31.0	12.95	1.1391	0.00	117	1	100.0	5
24/11/19	1:00 a	25.9	25.9	25.8	94	24.9	0.4	ENE	0.13	1.3	ENE	25.9	29.4	29.4	28.9	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.9	71	22.2	30.9	12.96	1.1393	0.00	115	1	100.0	5
24/11/19	1:05 a	25.9	25.9	25.9	94	24.9	0.0	ENE	0.00	0.4	ENE	25.9	29.4	29.4	28.9	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	28.0	71	22.2	31.0	12.95	1.1389	0.00	114	1	100.0	5
24/11/19	1:10 a	25.9	25.9	25.9	94	24.8	0.4	ENE	0.13	0.9	ENE	25.9	29.3	29.3	28.7	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.9	71	22.2	30.9	12.96	1.1391	0.00	116	1	100.0	5
24/11/19	1:15 a	25.8	25.9	25.8	95	25.0	0.0	ENE	0.00	0.9	ENE	25.8	29.3	29.3	28.8	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.9	71	22.2	30.9	12.96	1.1390	0.00	115	1	100.0	5
24/11/19	1:20 a	25.8	25.9	25.8	95	25.0	0.0	ENE	0.00	0.4	ENE	25.8	29.3	29.3	28.8	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.9	71	22.2	30.9	12.96	1.1389	0.00	117	1	100.0	5
24/11/19	1:25 a	25.8	25.9	25.8	95	25.0	0.0	ENE	0.00	0.9	ENE	25.8	29.3	29.3	28.8	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.9	71	22.2	30.9	12.96	1.1389	0.00	117	1	100.0	5
24/11/19	1:30 a	25.7	25.8	25.7	95	24.9	0.0	ENE	0.00	0.9	ENE	25.7	29.1	29.1	28.5	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.9	71	22.2	30.9	12.96	1.1389	0.00	116	1	100.0	5
24/11/19	1:35 a	25.7	25.8	25.7	95	24.9	0.4	ENE	0.13	0.9	ENE	25.7	29.1	29.1	28.5	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.9	71	22.2	30.9	12.96	1.1389	0.00	116	1	100.0	5
24/11/19	1:40 a	25.7	25.7	25.6	95	24.8	0.4	ENE	0.13	0.9	ENE	25.7	28.9	28.9	28.4	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.9	71	22.2	30.9	12.96	1.1389	0.00	114	1	100.0	5
24/11/19	1:45 a	25.6	25.6	25.6	96	24.9	0.4	NNE	0.13	1.3	NNE	25.6	28.9	28.9	28.4	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.9	71	22.2	30.9	12.96	1.1389	0.00	116	1	100.0	5
24/11/19	1:50 a	25.6	25.6	25.6	96	24.9	0.4	NNE	0.13	0.9	NNE	25.6	28.9	28.9	28.4	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.9	71	22.1	30.8	12.96	1.1392	0.00	117	1	100.0	5
24/11/19	1:55 a	25.5	25.6	25.5	96	24.8	0.0	NNE	0.00	0.4	NNE	25.5	28.7	28.7	28.1	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.9	72	22.4	30.9	13.25	1.1385	0.00	117	1	100.0	5
24/11/19	2:00 a	25.5	25.6	25.5	96	24.8	0.0	---	0.00	0.0	---	25.5	28.7	28.7	28.1	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.9	71	22.1	30.8	12.96	1.1389	0.00	117	1	100.0	5
24/11/19	2:05 a	25.6	25.6	25.5	96	24.9	0.4	NNE	0.13	0.9	NNE	25.6	28.9	28.9	28.4	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1389	0.00	117	1	100.0	5
24/11/19	2:10 a	25.7	25.7	25.6	96	25.0	0.0	NNE	0.00	0.9	NNE	25.7	29.1	29.1	28.5	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1387	0.00	114	1	100.0	5
24/11/19	2:15 a	25.6	25.7	25.6	96	24.9	0.0	---	0.00	0.0	---	25.6	28.9	28.9	28.4	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1388	0.00	114	1	100.0	5
24/11/19	2:20 a	25.5	25.6	25.5	96	24.8	0.0	---	0.00	0.0	---	25.5	28.7	28.7	28.1	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1388	0.00	117	1	100.0	5
24/11/19	2:25 a	25.4	25.6	25.4	96	24.8	0.0	---	0.00	0.0	---	25.4	28.6	28.6	28.0	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.9	72	22.4	30.9	13.25	1.1385	0.00	118	1	100.0	5
24/11/19	2:30 a	25.4	25.4	25.4	97	24.9	0.0	---	0.00	0.0	---	25.4	28.6	28.6	28.0	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.8	72	22.3	30.8	13.25	1.1387	0.00	117	1	100.0	5
24/11/19	2:35 a	25.4	25.4	25.4	97	24.9	0.4	NNE	0.13	0.4	NNE	25.4	28.7	28.7	28.1	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1387	0.00	117	1	100.0	5
24/11/19	2:40 a	25.5	25.5	25.4	97	25.0	0.0	NNE	0.00	0.4	NNE	25.5	28.8	28.8	28.2	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1387	0.00	116	1	100.0	5
24/11/19	2:45 a	25.4	25.4	25.4	97	24.9	0.0	NNE	0.00	0.4	NNE	25.4	28.7	28.7	28.1	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1386	0.00	114	1	100.0	5
24/11/19	2:50 a	25.4	25.4	25.4	97	24.9	0.0	NNE	0.00	0.4	NNE	25.4	28.7	28.7	28.1	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1387	0.00	116	1	100.0	5
24/11/19	2:55 a	25.4	25.5	25.4	97	24.9	0.4	NNE	0.13	0.9	NNE	25.4	28.7	28.7	28.1	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.8	13.25	1.1387	0.00	117	1	100.0	5
24/11/19	3:00 a	25.4	25.5	25.4	97	24.9	0.4	NNE	0.13	0.9	NNE	25.4	28.7	28.7	28.1	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.8	72	22.3	30.7	13.25	1.1389	0.00	117	1	100.0	5
24/11/19	3:05 a	25.3	25.4	25.3	97	24.8	0.4	NE	0.13	0.9	NE	25.3	28.4	28.4	27.9	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.8	72	22.3	30.7	13.25	1.1390	0.00	117	1	100.0	5
24/11/19	3:10 a	25.3	25.3	25.3	97	24.8	0.0	NE	0.00	0.9	NE	25.3	28.3	28.3	27.7	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.8	72	22.3	30.7	13.25	1.1390	0.00	117	1	100.0	5
24/11/19	3:15 a	25.2	25.3	25.2	97	24.7	0.4	NE	0.13	0.9	NE	25.2	28.2	28.2	27.6	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.8	72	22.3	30.7	13.25	1.1390	0.00	116	1	100.0	5
24/11/19	3:20 a	25.3	25.3	25.2	97	24.8	0.4	NE	0.13	1.3	NE	25.3	28.3	28.3	27.7	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.8	72	22.3	30.7	13.25	1.1390	0.00	113	1	99.1	5
24/11/19	3:25 a	25.2	25.3	25.2	97	24.7	0.4	NE	0.13	1.3	NE	25.2	28.2	28.2	27.6	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.8	72	22.3	30.7	13.25	1.1391	0.00	116	1	100.0	5
24/11/19	3:30 a	25.3	25.3	25.3	97	24.8	0.0	NE	0.00	0.4	NE	25.3	28.3	28.3	27.7	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1395	0.00	118	1	100.0	5
24/11/19	3:35 a	25.3	25.3	25.3	97	24.8	0.4	NE	0.13	1.3	ENE	25.3	28.4	28.4	27.9	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1395	0.00	117	1	100.0	5
24/11/19	3:40 a	25.3	25.3	25.3	97	24.8	0.4	E	0.13	1.3	E	25.3	28.3	28.3	27.7	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1396	0.00	117	1	100.0	5
24/11/19	3:45 a	25.3	25.3	25.3	97	24.8	0.9	E	0.27	1.3	E	25.3	28.4	28.4	27.9	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1397	0.00	116	1	100.0	5
24/11/19	3:50 a	25.3	25.3	25.3	97	24.8	0.4	ESE	0.13	0.9	ESE	25.3	28.3	28.3	27.7	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1397	0.00	115	1	100.0	5
24/11/19	3:55 a	25.3	25.3	25.2	97	24.8	0.0	---	0.00	0.0	---	25.3	28.3	28.3	27.7	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1398	0.00	114	1	100.0	5
24/11/19	4:00 a	25.3	25.3	25.3	97	24.8	0.4	ESE	0.13	0.9	ESE	25.3	28.3	28.3	27.7	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1398	0.00	117	1	100.0	5
24/11/19	4:05 a	25.3	25.3	25.2	97	24.8	0.4	ESE	0.13	0.9	ESE	25.3	28.3	28.3	27.7	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.6	13.25	1.1399	0.00	117	1	100.0	5
24/11/19	4:10 a	25.2	25.3	25.2	97	24.7	0.0	ESE	0.00	0.4	ESE	25.2	28.1	28.1	27.5	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	27.7	72	22.2	30.4	13.25	1.1402	0.00	117	1	100.0	5
