		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
23/10/19	12:00 a	24.5	24.5	24.5	95	23.6	0.4	SSE	0.13	1.8	S	24.5	26.6	26.6	26.0	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	70	20.5	27.9	12.86	1.1501	0.00	113	1	99.1	5
23/10/19	12:05 a	24.5	24.6	24.5	95	23.6	0.4	SSE	0.13	0.9	SSE	24.5	26.6	26.6	26.0	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	70	20.5	28.1	12.86	1.1498	0.00	112	1	98.2	5
23/10/19	12:10 a	24.4	24.5	24.4	95	23.5	0.9	ESE	0.27	1.3	ESE	24.4	26.4	26.4	25.8	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	70	20.5	27.9	12.86	1.1501	0.00	114	1	100.0	5
23/10/19	12:15 a	24.4	24.4	24.4	95	23.5	0.9	ESE	0.27	1.8	E	24.4	26.4	26.4	25.8	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	70	20.5	27.9	12.86	1.1500	0.00	117	1	100.0	5
23/10/19	12:20 a	24.4	24.4	24.4	95	23.5	0.4	ESE	0.13	1.3	ESE	24.4	26.4	26.4	25.8	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	70	20.5	27.9	12.86	1.1500	0.00	115	1	100.0	5
23/10/19	12:25 a	24.4	24.4	24.3	95	23.5	0.4	ESE	0.13	0.9	ESE	24.4	26.4	26.4	25.8	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	70	20.5	27.9	12.86	1.1499	0.00	114	1	100.0	5
23/10/19	12:30 a	24.3	24.4	24.3	95	23.5	0.0	ESE	0.00	0.9	ESE	24.3	26.3	26.3	25.7	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	70	20.5	27.9	12.86	1.1499	0.00	112	1	98.2	5
23/10/19	12:35 a	24.3	24.4	24.3	95	23.4	0.0	---	0.00	0.0	---	24.3	26.3	26.3	25.7	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	71	20.7	28.1	13.07	1.1495	0.00	116	1	100.0	5
23/10/19	12:40 a	24.3	24.3	24.3	95	23.4	0.0	ESE	0.00	0.4	ESE	24.3	26.3	26.3	25.7	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.4	71	20.7	28.1	13.07	1.1493	0.00	116	1	100.0	5
