		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
20/02/19	2:10 p	83.0	83.1	82.9	80	76.2	12.0	NNW	1.00	14.0	NNW	81.2	91.7	89.9	---	29.668	0.00	0.00	427	3.06	436	6.6	0.24	6.8	0.000	0.063	92.0	64	78.1	107.9	0.000	68	1	59.6	5
20/02/19	2:15 p	83.0	83.0	82.9	80	76.2	13.0	NNW	1.08	15.0	NNW	81.0	91.7	89.7	---	29.662	0.00	0.00	632	4.53	652	7.4	0.26	8.3	0.000	0.063	91.3	65	77.9	106.5	0.000	109	1	95.6	5
20/02/19	2:20 p	82.9	83.0	82.9	83	77.2	12.0	NNW	1.00	14.0	NNW	81.1	92.3	90.5	---	29.660	0.00	0.00	390	2.80	411	5.4	0.19	6.4	0.000	0.062	90.8	66	77.9	105.7	0.000	112	1	98.2	5
20/02/19	2:25 p	82.8	83.0	82.8	81	76.4	13.0	NNW	1.08	15.0	NNW	80.8	91.4	89.4	---	29.659	0.00	0.00	381	2.73	388	4.9	0.17	5.1	0.000	0.062	90.1	68	78.1	104.9	0.000	115	1	100.0	5
20/02/19	2:30 p	82.8	82.9	82.8	81	76.4	13.0	NNW	1.08	16.0	NNW	80.8	91.4	89.4	---	29.655	0.00	0.00	345	2.47	357	4.8	0.17	4.9	0.000	0.062	89.7	70	78.6	104.7	0.000	116	1	100.0	5
20/02/19	2:35 p	82.8	82.9	82.7	81	76.4	14.0	NNW	1.17	16.0	NNW	80.6	91.4	89.2	---	29.652	0.00	0.00	312	2.24	330	4.9	0.17	5.0	0.000	0.062	89.4	69	77.9	103.1	0.000	114	1	100.0	5
20/02/19	2:40 p	83.0	83.0	82.8	80	76.2	14.0	NNW	1.17	16.0	NNW	80.8	91.7	89.5	---	29.644	0.00	0.00	304	2.18	320	5.8	0.21	6.8	0.000	0.063	89.1	70	78.0	102.6	0.000	117	1	100.0	5
20/02/19	2:45 p	83.0	83.1	82.9	81	76.6	14.0	NNW	1.17	16.0	NNW	80.8	92.0	89.8	---	29.643	0.00	0.00	642	4.60	642	6.5	0.23	7.3	0.000	0.063	89.2	69	77.7	102.4	0.000	117	1	100.0	5
20/02/19	2:50 p	83.1	83.1	83.0	81	76.7	14.0	NNW	1.17	16.0	NNW	80.9	92.3	90.1	---	29.639	0.00	0.00	606	4.34	613	6.1	0.22	6.4	0.000	0.063	88.8	69	77.3	101.1	0.000	104	1	91.2	5
20/02/19	2:55 p	83.1	83.2	83.1	81	76.7	15.0	NNW	1.25	16.0	N	80.7	92.3	89.9	---	29.634	0.00	0.00	381	2.73	436	5.3	0.19	5.4	0.000	0.063	88.1	70	77.1	99.3	0.000	99	1	86.8	5
20/02/19	3:00 p	83.2	83.2	83.1	80	76.4	15.0	NNW	1.25	17.0	NNW	80.8	92.3	89.9	---	29.632	0.00	0.00	676	4.85	686	5.8	0.21	6.4	0.000	0.063	87.4	71	76.8	98.5	0.016	99	1	86.8	5
20/02/19	3:05 p	83.4	83.4	83.2	80	76.6	14.0	NNW	1.17	17.0	NNW	81.3	92.8	90.7	---	29.629	0.00	0.00	633	4.54	686	6.1	0.22	6.2	0.000	0.064	86.9	72	76.8	98.1	0.000	90	1	78.9	5
20/02/19	3:10 p	83.6	83.6	83.4	80	76.8	13.0	NNW	1.08	16.0	NNW	81.7	93.4	91.5	---	29.632	0.00	0.00	666	4.77	684	6.0	0.21	6.1	0.000	0.065	86.5	73	76.8	97.5	0.000	96	1	84.2	5
