		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/07/20	12:00 a	25.2	25.2	25.1	96	24.5	0.4	SSE	0.13	1.3	SSE	25.2	27.9	27.9	27.4	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	30.4	61	22.1	34.0	10.88	1.1308	0.00	114	1	100.0	5
01/07/20	12:05 a	25.1	25.2	25.1	95	24.2	0.4	SSE	0.13	0.9	SSE	25.1	27.6	27.6	27.0	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.4	61	22.1	34.0	10.88	1.1308	0.00	113	1	99.1	5
01/07/20	12:10 a	25.1	25.1	25.0	95	24.2	0.0	SSE	0.00	0.9	SSE	25.1	27.6	27.6	27.0	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.4	61	22.0	33.9	10.88	1.1309	0.00	114	1	100.0	5
01/07/20	12:15 a	25.1	25.2	25.1	95	24.3	0.4	SSE	0.13	0.9	SSE	25.1	27.7	27.7	27.1	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	30.4	61	22.0	33.9	10.88	1.1309	0.00	112	1	98.2	5
01/07/20	12:20 a	25.2	25.2	25.2	95	24.3	0.4	SSE	0.13	0.9	SSE	25.2	27.8	27.8	27.2	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	30.4	61	22.0	33.9	10.88	1.1308	0.00	115	1	100.0	5
01/07/20	12:25 a	25.2	25.2	25.2	95	24.3	0.4	SSE	0.13	0.9	SSE	25.2	27.8	27.8	27.2	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	30.4	61	22.0	33.9	10.88	1.1307	0.00	115	1	100.0	5
01/07/20	12:30 a	25.1	25.2	25.1	95	24.3	0.4	SSE	0.13	1.3	SSE	25.1	27.7	27.7	27.1	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	30.4	61	22.0	33.9	10.88	1.1307	0.00	116	1	100.0	5
01/07/20	12:35 a	25.1	25.2	25.1	95	24.3	0.4	SSE	0.13	1.8	SSE	25.1	27.7	27.7	27.1	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	30.4	61	22.0	33.9	10.88	1.1308	0.00	114	1	100.0	5
01/07/20	12:40 a	25.0	25.1	25.0	95	24.1	0.9	S	0.27	2.2	SSE	25.0	27.5	27.5	26.9	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.4	61	22.0	33.9	10.88	1.1308	0.00	114	1	100.0	5
01/07/20	12:45 a	24.9	25.1	24.9	95	24.1	0.4	SSE	0.13	1.8	SSE	24.9	27.4	27.4	26.8	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.3	61	22.0	33.8	10.89	1.1310	0.00	114	1	100.0	5
01/07/20	12:50 a	24.9	24.9	24.9	95	24.1	0.4	SSE	0.13	1.8	SSE	24.9	27.4	27.4	26.8	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.3	61	22.0	33.8	10.89	1.1309	0.00	115	1	100.0	5
01/07/20	12:55 a	24.9	24.9	24.9	95	24.0	0.4	SSE	0.13	0.9	SSE	24.9	27.3	27.3	26.7	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.3	61	22.0	33.8	10.89	1.1309	0.00	116	1	100.0	5
01/07/20	1:00 a	24.9	24.9	24.9	95	24.0	0.4	SSE	0.13	0.9	SSE	24.9	27.3	27.3	26.7	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.3	61	22.0	33.8	10.89	1.1310	0.00	115	1	100.0	5
01/07/20	1:05 a	24.8	24.9	24.8	96	24.2	0.4	SSE	0.13	0.9	SSE	24.8	27.3	27.3	26.7	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.3	61	21.9	33.7	10.89	1.1312	0.00	114	1	100.0	5
01/07/20	1:10 a	24.9	24.9	24.8	96	24.2	0.4	SSE	0.13	1.8	SSE	24.9	27.4	27.4	26.8	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.3	61	21.9	33.7	10.89	1.1313	0.00	114	1	100.0	5
01/07/20	1:15 a	24.7	24.9	24.7	95	23.9	0.4	SSE	0.13	0.9	SSE	24.7	27.0	27.0	26.4	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.3	61	21.9	33.7	10.89	1.1313	0.00	113	1	99.1	5
01/07/20	1:20 a	24.8	24.8	24.7	96	24.1	0.4	SSE	0.13	1.8	SSE	24.8	27.2	27.2	26.6	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.3	61	21.9	33.7	10.89	1.1313	0.00	114	1	100.0	5
01/07/20	1:25 a	24.8	24.8	24.7	96	24.1	0.4	SSE	0.13	0.9	SSE	24.8	27.2	27.2	26.6	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.3	61	21.9	33.7	10.89	1.1312	0.00	113	1	99.1	5
01/07/20	1:30 a	24.8	24.8	24.8	96	24.1	0.4	SSE	0.13	0.9	SSE	24.8	27.2	27.2	26.6	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.2	61	21.9	33.6	10.89	1.1314	0.00	115	1	100.0	5
01/07/20	1:35 a	24.8	24.8	24.7	96	24.1	0.9	SSE	0.27	1.3	SE	24.8	27.2	27.2	26.6	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.3	61	21.9	33.7	10.89	1.1310	0.00	118	1	100.0	5
01/07/20	1:40 a	24.7	24.8	24.7	96	24.0	0.4	SE	0.13	1.3	SE	24.7	27.1	27.1	26.5	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.3	61	21.9	33.7	10.89	1.1311	0.00	115	1	100.0	5
01/07/20	1:45 a	24.7	24.8	24.7	96	24.0	0.9	SE	0.27	1.8	SE	24.7	27.1	27.1	26.5	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.2	61	21.9	33.6	10.89	1.1315	0.00	112	1	98.2	5
01/07/20	1:50 a	24.7	24.8	24.7	96	24.0	0.4	SE	0.13	1.3	SE	24.7	27.1	27.1	26.5	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.2	61	21.9	33.6	10.89	1.1316	0.00	112	1	98.2	5
01/07/20	1:55 a	24.7	24.7	24.7	96	24.0	0.4	SE	0.13	0.9	SE	24.7	27.1	27.1	26.5	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.2	61	21.9	33.6	10.89	1.1316	0.00	117	1	100.0	5
01/07/20	2:00 a	24.7	24.7	24.7	96	24.0	0.0	SE	0.00	0.9	SE	24.7	27.1	27.1	26.5	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.2	61	21.8	33.4	10.90	1.1319	0.00	117	1	100.0	5
01/07/20	2:05 a	24.7	24.7	24.7	96	24.0	0.4	SE	0.13	0.9	SE	24.7	27.1	27.1	26.5	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.2	61	21.8	33.4	10.90	1.1320	0.00	115	1	100.0	5
01/07/20	2:10 a	24.7	24.7	24.6	96	24.0	0.4	SE	0.13	0.9	SE	24.7	27.0	27.0	26.4	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.2	61	21.8	33.4	10.90	1.1320	0.00	116	1	100.0	5
01/07/20	2:15 a	24.6	24.7	24.6	96	23.9	0.4	SSE	0.13	1.3	SSE	24.6	26.9	26.9	26.3	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.1	61	21.8	33.3	10.90	1.1323	0.00	113	1	99.1	5
01/07/20	2:20 a	24.6	24.7	24.6	96	23.9	0.4	SSE	0.13	0.9	SSE	24.6	26.9	26.9	26.3	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.1	61	21.8	33.3	10.90	1.1323	0.00	113	1	99.1	5
01/07/20	2:25 a	24.6	24.6	24.6	96	23.9	0.4	SSE	0.13	1.3	SSE	24.6	26.8	26.8	26.2	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	30.1	61	21.8	33.3	10.90	1.1323	0.00	115	1	100.0	5
01/07/20	2:30 a	24.5	24.6	24.5	96	23.8	0.4	SSE	0.13	2.2	SSE	24.5	26.7	26.7	26.1	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	30.1	61	21.8	33.3	10.90	1.1323	0.00	113	1	99.1	5
01/07/20	2:35 a	24.5	24.5	24.4	96	23.8	0.9	S	0.27	1.8	SSE	24.5	26.7	26.7	26.1	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	30.1	61	21.8	33.3	10.90	1.1324	0.00	115	1	100.0	5
01/07/20	2:40 a	24.5	24.5	24.4	96	23.8	0.0	S	0.00	0.9	S	24.5	26.7	26.7	26.1	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	30.1	61	21.8	33.3	10.90	1.1323	0.00	113	1	99.1	5
01/07/20	2:45 a	24.4	24.4	24.4	96	23.8	0.0	S	0.00	0.4	S	24.4	26.6	26.6	25.9	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	30.1	61	21.8	33.3	10.90	1.1324	0.00	114	1	100.0	5
01/07/20	2:50 a	24.4	24.4	24.4	96	23.8	0.0	S	0.00	0.4	S	24.4	26.6	26.6	25.9	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	30.1	61	21.8	33.3	10.90	1.1323	0.00	111	1	97.4	5
01/07/20	2:55 a	24.4	24.4	24.4	96	23.7	0.4	S	0.13	0.9	S	24.4	26.5	26.5	25.9	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	30.1	61	21.7	33.2	10.91	1.1326	0.00	111	1	97.4	5
