		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
17/03/20	12:05 a	27.0	27.0	26.9	87	24.6	2.2	NNE	0.67	4.0	N	27.0	31.1	31.1	30.4	1013.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1465	0.00	113	1	99.1	5
17/03/20	12:10 a	27.0	27.0	27.0	87	24.6	1.3	NE	0.40	3.6	NNE	27.0	31.1	31.1	30.4	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1463	0.00	115	1	100.0	5
17/03/20	12:15 a	27.0	27.0	26.9	87	24.6	1.8	NNE	0.54	3.6	N	27.0	31.1	31.1	30.4	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1463	0.00	116	1	100.0	5
17/03/20	12:20 a	27.0	27.0	27.0	87	24.6	1.8	NNE	0.54	3.6	N	27.0	31.1	31.1	30.4	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1463	0.00	117	1	100.0	5
17/03/20	12:25 a	27.0	27.1	26.9	87	24.6	1.8	NNE	0.54	4.0	NNE	27.0	31.1	31.1	30.4	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1463	0.00	117	1	100.0	5
17/03/20	12:30 a	27.0	27.0	27.0	87	24.6	1.8	NNE	0.54	3.6	NE	27.0	31.1	31.1	30.4	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1463	0.00	117	1	100.0	5
17/03/20	12:35 a	27.1	27.1	27.0	87	24.7	2.2	NNE	0.67	4.5	NE	27.1	31.2	31.2	30.6	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1458	0.00	116	1	100.0	5
17/03/20	12:40 a	27.1	27.1	27.0	87	24.7	1.3	NNE	0.40	3.1	NNE	27.1	31.2	31.2	30.6	1012.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1457	0.00	115	1	100.0	5
17/03/20	12:45 a	27.1	27.1	27.0	87	24.7	1.3	NE	0.40	4.0	NNE	27.1	31.2	31.2	30.6	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1459	0.00	115	1	100.0	5
17/03/20	12:50 a	27.0	27.1	27.0	87	24.6	1.8	NNE	0.54	3.6	NNE	27.0	31.1	31.1	30.4	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1457	0.00	117	1	100.0	5
17/03/20	12:55 a	27.1	27.1	27.0	87	24.7	1.3	NNE	0.40	3.1	NNE	27.1	31.2	31.2	30.6	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1458	0.00	117	1	100.0	5
17/03/20	1:00 a	27.0	27.1	27.0	87	24.6	1.8	NNE	0.54	4.5	NE	27.0	31.1	31.1	30.4	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1454	0.03	117	1	100.0	5
17/03/20	1:05 a	27.1	27.1	27.0	87	24.7	2.2	NNE	0.67	4.5	NE	27.1	31.2	31.2	30.6	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1454	0.00	116	1	100.0	5
17/03/20	1:10 a	27.1	27.1	27.0	87	24.7	1.3	NE	0.40	3.6	NNE	27.1	31.2	31.2	30.6	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1453	0.00	115	1	100.0	5
17/03/20	1:15 a	27.1	27.1	27.1	87	24.7	2.2	NNE	0.67	4.9	NNE	27.1	31.2	31.2	30.6	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1456	0.00	114	1	100.0	5
17/03/20	1:20 a	27.0	27.1	27.0	87	24.6	1.8	NNE	0.54	4.9	NE	27.0	31.1	31.1	30.4	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1451	0.00	116	1	100.0	5
17/03/20	1:25 a	26.9	27.1	26.9	87	24.6	2.2	NNE	0.67	4.9	NNE	26.9	30.9	30.9	30.3	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1449	0.00	116	1	100.0	5
17/03/20	1:30 a	26.9	26.9	26.9	87	24.5	2.2	NNE	0.67	4.0	NNE	26.9	30.8	30.8	30.2	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1452	0.00	117	1	100.0	5
17/03/20	1:35 a	26.8	26.9	26.8	87	24.5	2.2	NNE	0.67	4.5	NNE	26.8	30.7	30.7	30.1	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.3	13.25	1.1450	0.00	117	1	100.0	5
17/03/20	1:40 a	26.8	26.9	26.8	87	24.5	1.8	NNE	0.54	4.5	NNE	26.8	30.7	30.7	30.1	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.1	72	21.6	29.4	13.25	1.1448	0.00	117	1	100.0	5
