		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
13/03/20	12:00 a	26.7	26.7	26.7	86	24.2	1.3	NE	0.40	3.1	E	26.7	30.3	30.3	29.6	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1491	0.03	116	1	100.0	5
13/03/20	12:05 a	26.7	26.8	26.7	86	24.2	1.3	NE	0.40	3.6	NNE	26.7	30.3	30.3	29.6	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1491	0.00	112	1	98.2	5
13/03/20	12:10 a	26.7	26.8	26.7	86	24.2	0.9	NNE	0.27	2.2	NNW	26.7	30.3	30.3	29.6	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.6	28.2	12.85	1.1493	0.00	115	1	100.0	5
13/03/20	12:15 a	26.7	26.7	26.7	87	24.4	1.3	NE	0.40	2.7	NE	26.7	30.4	30.4	29.7	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1490	0.00	117	1	100.0	5
13/03/20	12:20 a	26.7	26.8	26.7	87	24.4	1.3	NNE	0.40	4.5	NNE	26.7	30.4	30.4	29.7	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1489	0.00	117	1	100.0	5
13/03/20	12:25 a	26.8	26.8	26.7	87	24.4	1.8	NNE	0.54	3.6	NNE	26.8	30.5	30.5	29.8	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1488	0.00	117	1	100.0	5
13/03/20	12:30 a	26.8	26.8	26.7	87	24.4	1.3	NE	0.40	3.1	NNE	26.8	30.5	30.5	29.8	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1488	0.00	117	1	100.0	5
13/03/20	12:35 a	26.8	26.8	26.7	87	24.4	1.8	NE	0.54	3.6	NNE	26.8	30.5	30.5	29.8	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1487	0.00	117	1	100.0	5
13/03/20	12:40 a	26.8	26.8	26.7	87	24.4	1.8	NE	0.54	3.1	ENE	26.8	30.5	30.5	29.8	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.6	28.2	12.85	1.1490	0.00	114	1	100.0	5
13/03/20	12:45 a	26.8	26.8	26.7	87	24.4	1.3	NE	0.40	2.7	NNE	26.8	30.5	30.5	29.8	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1485	0.00	115	1	100.0	5
13/03/20	12:50 a	26.8	26.8	26.7	87	24.4	1.3	NNE	0.40	3.1	NE	26.8	30.5	30.5	29.8	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1485	0.00	117	1	100.0	5
13/03/20	12:55 a	26.7	26.8	26.7	87	24.3	0.9	NNE	0.27	1.8	NE	26.7	30.3	30.3	29.6	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1484	0.00	117	1	100.0	5
13/03/20	1:00 a	26.6	26.7	26.6	88	24.5	1.3	NE	0.40	2.7	NE	26.6	30.2	30.2	29.6	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.6	70	20.7	28.3	12.85	1.1484	0.03	117	1	100.0	5
