		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
08/04/20	12:05 a	28.2	28.3	28.2	91	26.6	1.3	NNE	0.40	2.7	N	28.2	35.0	35.0	34.5	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.6	69	24.3	36.4	12.35	1.1252	0.00	108	1	94.7	5
08/04/20	12:10 a	28.2	28.2	28.2	91	26.6	1.8	N	0.54	2.7	NNE	28.2	35.0	35.0	34.5	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.6	69	24.3	36.4	12.35	1.1251	0.00	115	1	100.0	5
08/04/20	12:15 a	28.2	28.2	28.2	91	26.6	1.3	NNE	0.40	4.0	N	28.2	35.0	35.0	34.5	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.6	69	24.3	36.4	12.35	1.1250	0.00	113	1	99.1	5
08/04/20	12:20 a	28.2	28.2	28.2	91	26.6	1.8	N	0.54	4.0	N	28.2	35.0	35.0	34.5	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.6	69	24.3	36.4	12.35	1.1248	0.00	110	1	96.5	5
08/04/20	12:25 a	28.2	28.2	28.2	91	26.6	1.8	NNE	0.54	3.6	NNE	28.2	35.0	35.0	34.5	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.6	69	24.3	36.4	12.35	1.1249	0.00	113	1	99.1	5
08/04/20	12:30 a	28.2	28.2	28.2	91	26.6	1.3	NNE	0.40	3.1	NE	28.2	35.0	35.0	34.5	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.6	69	24.3	36.4	12.35	1.1248	0.00	115	1	100.0	5
08/04/20	12:35 a	28.2	28.2	28.2	91	26.6	2.2	NNE	0.67	4.9	N	28.2	35.0	35.0	34.5	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.6	69	24.3	36.4	12.35	1.1247	0.00	107	1	93.9	5
08/04/20	12:40 a	28.3	28.3	28.2	91	26.7	1.8	NNE	0.54	4.9	N	28.3	35.2	35.2	34.7	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1250	0.00	110	1	96.5	5
08/04/20	12:45 a	28.3	28.3	28.2	90	26.5	1.8	NNE	0.54	4.0	NNE	28.3	34.9	34.9	34.4	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1250	0.00	112	1	98.2	5
08/04/20	12:50 a	28.3	28.3	28.3	90	26.5	1.8	NNE	0.54	4.0	N	28.3	34.9	34.9	34.4	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1248	0.00	109	1	95.6	5
08/04/20	12:55 a	28.3	28.3	28.3	90	26.5	2.2	NNE	0.67	4.5	NE	28.3	35.1	35.1	34.6	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1248	0.00	106	1	93.0	5
08/04/20	1:00 a	28.4	28.4	28.3	90	26.6	1.8	NE	0.54	3.6	N	28.4	35.3	35.3	34.8	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1247	0.03	115	1	100.0	5
08/04/20	1:05 a	28.4	28.4	28.3	89	26.4	1.8	NNE	0.54	4.0	NE	28.4	35.1	35.1	34.6	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1246	0.00	113	1	99.1	5
08/04/20	1:10 a	28.4	28.4	28.4	89	26.4	2.2	NNE	0.67	4.0	NNW	28.4	35.1	35.1	34.6	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1245	0.00	108	1	94.7	5
08/04/20	1:15 a	28.4	28.4	28.4	89	26.4	1.3	NNE	0.40	3.6	N	28.4	35.1	35.1	34.6	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1245	0.00	112	1	98.2	5
08/04/20	1:20 a	28.4	28.4	28.4	89	26.4	1.8	NNE	0.54	4.9	N	28.4	35.1	35.1	34.6	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.6	69	24.2	36.3	12.35	1.1244	0.00	112	1	98.2	5
08/04/20	1:25 a	28.4	28.4	28.4	89	26.4	1.3	NNE	0.40	3.6	NNE	28.4	35.1	35.1	34.6	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.5	69	24.2	36.2	12.35	1.1248	0.00	112	1	98.2	5
08/04/20	1:30 a	28.3	28.4	28.3	89	26.3	1.3	NNE	0.40	2.2	NE	28.3	34.9	34.9	34.4	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.5	68	23.9	35.9	12.17	1.1252	0.00	113	1	99.1	5
08/04/20	1:35 a	28.3	28.4	28.3	89	26.3	0.9	NNE	0.27	2.2	NNE	28.3	34.9	34.9	34.4	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.5	68	23.9	35.9	12.17	1.1252	0.00	114	1	100.0	5
08/04/20	1:40 a	28.2	28.3	28.2	89	26.2	1.3	NNE	0.40	2.2	N	28.2	34.6	34.6	34.1	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.5	68	23.9	35.9	12.17	1.1251	0.00	115	1	100.0	5
08/04/20	1:45 a	28.2	28.3	28.2	89	26.2	1.8	NE	0.54	3.6	NNE	28.2	34.6	34.6	34.1	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.5	68	23.9	35.9	12.17	1.1251	0.00	113	1	99.1	5
08/04/20	1:50 a	28.2	28.2	28.2	89	26.2	1.3	NE	0.40	4.0	NE	28.2	34.6	34.6	34.1	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.9	35.8	12.18	1.1254	0.00	113	1	99.1	5
08/04/20	1:55 a	28.2	28.2	28.2	89	26.2	2.2	NNE	0.67	4.5	NE	28.2	34.4	34.4	33.9	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.9	35.8	12.18	1.1252	0.00	110	1	96.5	5
08/04/20	2:00 a	28.2	28.2	28.2	89	26.2	1.8	NE	0.54	4.0	NE	28.2	34.6	34.6	34.1	1009.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.9	35.8	12.18	1.1252	0.03	110	1	96.5	5
08/04/20	2:05 a	28.2	28.2	28.2	89	26.2	1.8	NNE	0.54	4.0	NNE	28.2	34.6	34.6	34.1	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.9	35.8	12.18	1.1250	0.00	114	1	100.0	5
08/04/20	2:10 a	28.2	28.2	28.1	89	26.2	1.8	N	0.54	4.0	N	28.2	34.4	34.4	33.9	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.9	35.8	12.18	1.1249	0.00	109	1	95.6	5
08/04/20	2:15 a	28.1	28.2	28.1	89	26.1	2.2	NNE	0.67	4.9	NNE	28.1	34.3	34.3	33.8	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.9	35.8	12.18	1.1249	0.00	112	1	98.2	5
08/04/20	2:20 a	28.1	28.1	28.1	89	26.1	2.2	NNE	0.67	4.0	N	28.1	34.1	34.1	33.6	1009.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.9	35.8	12.18	1.1247	0.00	112	1	98.2	5
08/04/20	2:25 a	28.0	28.1	28.0	90	26.2	1.8	NNE	0.54	4.5	N	28.0	34.2	34.2	33.7	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	30.4	68	23.8	35.6	12.18	1.1249	0.00	110	1	96.5	5
08/04/20	2:30 a	27.9	28.0	27.9	90	26.2	1.8	NNE	0.54	4.0	NNW	27.9	34.0	34.0	33.5	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.4	68	23.8	35.6	12.18	1.1248	0.00	114	1	100.0	5
08/04/20	2:35 a	27.8	27.9	27.8	90	26.0	1.3	NNE	0.40	3.1	NNE	27.8	33.7	33.7	33.2	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.4	68	23.8	35.6	12.18	1.1248	0.00	110	1	96.5	5
08/04/20	2:40 a	27.8	27.8	27.8	91	26.2	1.8	NNE	0.54	3.1	N	27.8	33.9	33.9	33.4	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.8	35.5	12.19	1.1251	0.00	112	1	98.2	5
08/04/20	2:45 a	27.8	27.8	27.8	91	26.2	1.8	NE	0.54	3.1	N	27.8	33.7	33.7	33.2	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.4	68	23.8	35.6	12.18	1.1247	0.00	114	1	100.0	5
08/04/20	2:50 a	27.8	27.8	27.7	91	26.2	1.3	N	0.40	3.6	N	27.8	33.7	33.7	33.2	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.8	35.5	12.19	1.1250	0.00	111	1	97.4	5
08/04/20	2:55 a	27.7	27.8	27.7	91	26.1	1.3	NNE	0.40	3.6	NNW	27.7	33.6	33.6	33.1	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.4	68	23.8	35.6	12.18	1.1248	0.00	110	1	96.5	5
08/04/20	3:00 a	27.7	27.8	27.7	91	26.1	1.3	NNE	0.40	2.2	NE	27.7	33.6	33.6	33.1	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.8	35.5	12.19	1.1251	0.03	112	1	98.2	5
08/04/20	3:05 a	27.7	27.8	27.7	91	26.1	1.8	NNE	0.54	2.7	NNE	27.7	33.6	33.6	33.1	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.8	35.5	12.19	1.1251	0.00	107	1	93.9	5
08/04/20	3:10 a	27.7	27.8	27.7	91	26.1	1.3	NNE	0.40	2.2	NE	27.7	33.6	33.6	33.1	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.8	35.5	12.19	1.1249	0.00	109	1	95.6	5
08/04/20	3:15 a	27.8	27.8	27.7	91	26.2	1.3	NE	0.40	2.7	NE	27.8	33.7	33.7	33.2	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.8	35.5	12.19	1.1249	0.00	115	1	100.0	5
08/04/20	3:20 a	27.8	27.8	27.7	90	26.0	1.8	NNE	0.54	3.6	NNE	27.8	33.5	33.5	33.0	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.7	35.4	12.19	1.1252	0.00	112	1	98.2	5
08/04/20	3:25 a	27.8	27.8	27.8	90	26.0	1.3	NE	0.40	4.0	NE	27.8	33.5	33.5	33.0	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.7	35.4	12.19	1.1254	0.00	109	1	95.6	5
08/04/20	3:30 a	27.8	27.8	27.8	90	26.0	1.8	NNE	0.54	3.6	NNE	27.8	33.7	33.7	33.2	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.8	35.5	12.19	1.1252	0.00	104	1	91.2	5
08/04/20	3:35 a	27.9	27.9	27.8	90	26.1	1.8	NE	0.54	4.5	ENE	27.9	33.8	33.8	33.3	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.7	35.4	12.19	1.1252	0.00	114	1	100.0	5
08/04/20	3:40 a	27.9	27.9	27.8	89	25.9	2.7	NE	0.80	6.7	ENE	27.9	33.7	33.7	33.2	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	30.3	68	23.7	35.4	12.19	1.1252	0.00	114	1	100.0	5
