		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
19/06/20	12:05 a	26.4	26.5	26.4	95	25.6	0.0	SE	0.00	0.4	SE	26.4	30.8	30.8	30.3	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.2	65	22.9	34.5	11.59	1.1304	0.00	105	1	92.1	5
19/06/20	12:10 a	26.4	26.5	26.4	95	25.6	0.0	SE	0.00	0.4	SE	26.4	30.8	30.8	30.3	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.2	65	22.9	34.5	11.59	1.1303	0.00	109	1	95.6	5
19/06/20	12:15 a	26.4	26.5	26.4	95	25.6	0.0	SE	0.00	0.4	SE	26.4	30.8	30.8	30.3	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.2	65	22.9	34.5	11.59	1.1303	0.00	111	1	97.4	5
19/06/20	12:20 a	26.4	26.4	26.4	96	25.7	0.4	SE	0.13	0.9	SE	26.4	30.8	30.8	30.3	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.2	65	22.9	34.4	11.60	1.1305	0.00	102	1	89.5	5
19/06/20	12:25 a	26.4	26.4	26.4	96	25.8	0.4	SE	0.13	0.9	SE	26.4	30.9	30.9	30.4	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.2	65	22.9	34.4	11.60	1.1304	0.00	104	1	91.2	5
19/06/20	12:30 a	26.5	26.5	26.4	96	25.8	0.4	S	0.13	0.9	S	26.5	31.1	31.1	30.6	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.1	65	22.8	34.2	11.60	1.1306	0.00	105	1	92.1	5
19/06/20	12:35 a	26.4	26.5	26.4	96	25.8	0.9	S	0.27	1.8	W	26.4	30.9	30.9	30.4	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.1	65	22.8	34.2	11.60	1.1304	0.00	107	1	93.9	5
19/06/20	12:40 a	26.4	26.5	26.4	96	25.8	0.4	SW	0.13	0.9	SW	26.4	30.9	30.9	30.4	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.1	65	22.8	34.2	11.60	1.1302	0.00	108	1	94.7	5
19/06/20	12:45 a	26.5	26.5	26.4	96	25.8	0.4	SW	0.13	0.9	SW	26.5	31.1	31.1	30.6	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.1	65	22.8	34.2	11.60	1.1301	0.00	106	1	93.0	5
19/06/20	12:50 a	26.6	26.6	26.5	96	25.9	0.4	SW	0.13	0.9	SW	26.6	31.3	31.3	30.8	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.1	34.5	11.80	1.1295	0.00	103	1	90.4	5
19/06/20	12:55 a	26.7	26.7	26.6	96	26.0	0.0	SW	0.00	0.9	SW	26.7	31.7	31.7	31.2	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.1	34.5	11.80	1.1295	0.00	109	1	95.6	5
19/06/20	1:00 a	26.8	26.8	26.7	96	26.1	0.0	WSW	0.00	0.9	WSW	26.8	31.9	31.9	31.4	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.1	34.5	11.80	1.1293	0.00	108	1	94.7	5
19/06/20	1:05 a	26.8	26.8	26.7	95	25.9	0.0	WSW	0.00	0.4	WSW	26.8	31.7	31.7	31.2	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.0	34.3	11.81	1.1296	0.00	104	1	91.2	5
19/06/20	1:10 a	26.8	26.8	26.7	95	25.9	0.4	WSW	0.13	0.9	WSW	26.8	31.7	31.7	31.2	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.0	34.3	11.81	1.1295	0.00	107	1	93.9	5
19/06/20	1:15 a	26.7	26.8	26.7	95	25.9	0.4	WSW	0.13	0.9	WSW	26.7	31.6	31.6	31.1	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.0	34.3	11.81	1.1295	0.00	107	1	93.9	5
19/06/20	1:20 a	26.7	26.8	26.7	95	25.9	0.4	WSW	0.13	0.9	WSW	26.7	31.6	31.6	31.1	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.0	34.3	11.81	1.1294	0.00	109	1	95.6	5
19/06/20	1:25 a	26.8	26.8	26.7	95	26.0	0.4	WSW	0.13	0.9	WSW	26.8	31.8	31.8	31.3	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	30.1	66	23.0	34.3	11.81	1.1293	0.00	108	1	94.7	5
19/06/20	1:30 a	26.8	26.8	26.8	95	26.0	0.4	NNW	0.13	1.3	WNW	26.8	31.8	31.8	31.3	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	30.1	66	23.0	34.3	11.81	1.1292	0.00	108	1	94.7	5
19/06/20	1:35 a	26.7	26.8	26.7	94	25.6	0.4	NNW	0.13	1.3	WNW	26.7	31.2	31.2	30.7	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.0	34.3	11.81	1.1293	0.00	111	1	97.4	5
19/06/20	1:40 a	26.6	26.7	26.6	94	25.6	0.4	NNW	0.13	0.9	NNW	26.6	31.1	31.1	30.6	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.1	66	23.0	34.3	11.81	1.1291	0.00	107	1	93.9	5
19/06/20	1:45 a	26.6	26.6	26.6	93	25.4	0.0	NNW	0.00	0.9	NNW	26.6	30.9	30.9	30.4	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.0	66	23.0	34.2	11.81	1.1293	0.00	112	1	98.2	5
19/06/20	1:50 a	26.6	26.6	26.5	93	25.4	0.4	NNW	0.13	1.3	NNW	26.6	30.9	30.9	30.4	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.0	66	23.0	34.2	11.81	1.1293	0.00	109	1	95.6	5
19/06/20	1:55 a	26.5	26.6	26.5	92	25.1	0.4	NNW	0.13	1.3	NNW	26.5	30.5	30.5	29.9	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.0	66	23.0	34.2	11.81	1.1291	0.00	104	1	91.2	5
19/06/20	2:00 a	26.6	26.6	26.5	92	25.1	0.4	WNW	0.13	1.3	WNW	26.6	30.6	30.6	30.1	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.0	65	22.7	34.0	11.61	1.1294	0.00	108	1	94.7	5
19/06/20	2:05 a	26.6	26.6	26.5	92	25.1	0.9	WSW	0.27	3.1	WSW	26.6	30.6	30.6	30.1	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.0	65	22.7	34.0	11.61	1.1294	0.00	110	1	96.5	5
19/06/20	2:10 a	26.6	26.6	26.6	92	25.1	0.9	W	0.27	2.2	WSW	26.6	30.6	30.6	30.1	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.0	65	22.7	34.0	11.61	1.1292	0.00	106	1	93.0	5
19/06/20	2:15 a	26.6	26.6	26.6	91	25.0	0.9	WSW	0.27	1.8	W	26.6	30.4	30.4	29.9	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	30.0	65	22.7	34.0	11.61	1.1292	0.00	108	1	94.7	5
19/06/20	2:20 a	26.6	26.6	26.6	91	25.0	0.9	W	0.27	1.8	W	26.6	30.6	30.6	30.1	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	29.9	65	22.6	33.9	11.61	1.1295	0.00	110	1	96.5	5
19/06/20	2:25 a	26.7	26.7	26.6	91	25.1	0.4	WNW	0.13	1.3	WNW	26.7	30.7	30.7	30.2	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	29.9	65	22.6	33.9	11.61	1.1296	0.00	105	1	92.1	5
