		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/02/21	12:05 a	27.1	27.2	27.1	89	25.1	1.8	NNE	0.54	3.6	N	27.1	31.6	31.6	31.0	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.4	67	21.7	31.1	12.09	1.1369	0.00	60	1	52.6	5
01/02/21	12:10 a	27.1	27.2	27.1	89	25.1	1.8	NNE	0.54	5.4	NNW	27.1	31.6	31.6	31.0	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.4	67	21.7	31.1	12.09	1.1368	0.00	114	1	100.0	5
01/02/21	12:15 a	27.1	27.1	27.1	89	25.1	2.2	NNE	0.67	4.5	N	27.1	31.4	31.4	30.8	1009.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.4	67	21.7	31.1	12.09	1.1367	0.00	117	1	100.0	5
01/02/21	12:20 a	27.0	27.1	27.0	89	25.0	1.8	N	0.54	4.9	NE	27.0	31.3	31.3	30.7	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	67	21.6	31.0	12.09	1.1370	0.00	118	1	100.0	5
01/02/21	12:25 a	27.0	27.1	27.0	89	25.0	2.2	NNE	0.67	4.5	NNE	27.0	31.3	31.3	30.7	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	67	21.6	31.0	12.09	1.1369	0.00	116	1	100.0	5
01/02/21	12:30 a	27.0	27.0	26.9	89	25.0	2.2	N	0.67	4.5	N	27.0	31.3	31.3	30.7	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	67	21.6	31.0	12.09	1.1366	0.00	117	1	100.0	5
01/02/21	12:35 a	26.9	27.0	26.9	89	25.0	2.7	N	0.80	5.4	NE	26.9	31.2	31.2	30.6	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	67	21.6	31.0	12.09	1.1365	0.00	115	1	100.0	5
01/02/21	12:40 a	26.9	26.9	26.9	89	24.9	3.1	N	0.94	6.3	NE	26.9	31.0	31.0	30.4	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	67	21.6	31.0	12.09	1.1365	0.00	114	1	100.0	5
01/02/21	12:45 a	26.9	26.9	26.9	89	25.0	2.7	N	0.80	6.7	N	26.9	31.2	31.2	30.6	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	67	21.6	30.9	12.09	1.1368	0.00	117	1	100.0	5
01/02/21	12:50 a	26.9	26.9	26.9	88	24.7	3.1	NNE	0.94	6.7	NNW	26.9	30.9	30.9	30.3	1008.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	28.3	67	21.6	30.9	12.09	1.1367	0.00	116	1	100.0	5
