Ano-Mes,Outside Temperature,Barometer,Day Rain,Rain Rate,UV,Solar Radiation,Wind Speed,Outside Humidity,Wind Direction
2019-Jun,36.67,26.67,36.67,36.67,36.67,36.67,36.67,36.67,36.67
2019-Jul,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81
2019-Aug,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26
2019-Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-Oct,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61
2019-Nov,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
2019-Dec,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26
2020-Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-Feb,24.14,24.14,24.14,24.14,24.14,24.14,24.14,24.14,24.14
2020-Mar,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29
2020-Apr,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67
2020-May,96.77,96.77,96.77,96.77,96.77,96.77,96.77,96.77,96.77
2020-Jun,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-Jul,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1
2020-Aug,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81
2020-Sep,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
2020-Oct,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1
2020-Nov,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
2020-Dec,45.16,45.16,45.16,45.16,45.16,45.16,45.16,45.16,45.16
2021-Jan,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42
2021-Feb,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-Mar,80.65,80.65,80.65,80.65,80.65,80.65,80.65,80.65,80.65
2021-Apr,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,76.67
2021-May,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.65
2021-Jun,36.67,36.67,36.67,36.67,36.67,36.67,36.67,36.67,3.33
2021-Jul,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,32.26
